channel,threshold_adc,hg_count_above_threshold,hg_fraction_above_threshold,lg_count_above_threshold,lg_fraction_above_threshold
0,200,4177,0.1845,3416,0.1509
1,200,4239,0.1872,3575,0.1579
2,200,4046,0.1787,3589,0.1585
3,200,4327,0.1911,3711,0.1639
4,200,4520,0.1996,3671,0.1621
5,200,55,0.0024,32,0.0014
6,200,5039,0.2225,3135,0.1385
7,200,2443,0.1079,2129,0.094
8,200,2524,0.1115,1999,0.0883
9,200,3908,0.1726,3331,0.1471
10,200,4106,0.1813,3632,0.1604
11,200,3985,0.176,3557,0.1571
12,200,4392,0.194,3842,0.1697
13,200,2590,0.1144,1994,0.0881
14,200,3032,0.1339,1805,0.0797
15,200,4791,0.2116,2446,0.108
16,200,0,0.0,0,0.0
17,200,1,0.0,0,0.0
18,200,1,0.0,0,0.0
19,200,0,0.0,0,0.0
20,200,1,0.0,0,0.0
21,200,0,0.0,0,0.0
22,200,2218,0.098,2123,0.0938
23,200,2223,0.0982,2123,0.0938
24,200,1,0.0,0,0.0
25,200,1,0.0,0,0.0
26,200,0,0.0,0,0.0
27,200,1,0.0,0,0.0
28,200,1,0.0,0,0.0
29,200,1,0.0,0,0.0
30,200,1,0.0,0,0.0
31,200,1,0.0,0,0.0
32,200,0,0.0,0,0.0
33,200,0,0.0,0,0.0
34,200,0,0.0,0,0.0
35,200,0,0.0,0,0.0
36,200,0,0.0,0,0.0
37,200,0,0.0,0,0.0
38,200,0,0.0,0,0.0
39,200,0,0.0,0,0.0
40,200,0,0.0,0,0.0
41,200,0,0.0,0,0.0
42,200,0,0.0,0,0.0
43,200,0,0.0,0,0.0
44,200,0,0.0,0,0.0
45,200,0,0.0,0,0.0
46,200,0,0.0,0,0.0
47,200,0,0.0,0,0.0
48,200,0,0.0,0,0.0
49,200,0,0.0,0,0.0
50,200,0,0.0,0,0.0
51,200,0,0.0,0,0.0
52,200,0,0.0,0,0.0
53,200,0,0.0,0,0.0
54,200,0,0.0,0,0.0
55,200,0,0.0,0,0.0
56,200,0,0.0,0,0.0
57,200,0,0.0,0,0.0
58,200,0,0.0,0,0.0
59,200,0,0.0,0,0.0
60,200,0,0.0,0,0.0
61,200,0,0.0,0,0.0
62,200,0,0.0,0,0.0
63,200,0,0.0,0,0.0
